dataset,train_classes,val_classes,test_classes,train_class_counts,val_class_counts,test_class_counts,issue
lenses,[0 1 2],[2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([3, 4, 7], dtype=int64))","(array([2], dtype=uint8), array([4], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([1, 1, 4], dtype=int64))",Class with less than 3 instances
lenses,[0 1 2],[0 1],[0 1 2],,,,Mismatch in class labels
lenses,[0 1 2],[0 1],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([ 2,  3, 11], dtype=int64))","(array([0, 1], dtype=uint8), array([1, 1], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([1, 1, 4], dtype=int64))",Class with less than 3 instances
lenses,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([2, 3, 9], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([1, 1, 2], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([1, 1, 4], dtype=int64))",Class with less than 3 instances
libras,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([15, 17, 13, 14, 15, 13, 16, 15, 15, 16,  9, 16, 17, 15, 16],
      dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([3, 1, 5, 4, 3, 5, 2, 3, 3, 2, 9, 2, 1, 3, 2], dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], dtype=int64))",Class with less than 3 instances
libras,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([15, 16, 15, 13, 13, 12, 14, 12, 15, 16, 13, 15, 14, 17, 14],
      dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([3, 2, 3, 5, 5, 6, 4, 6, 3, 2, 5, 3, 4, 1, 4], dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], dtype=int64))",Class with less than 3 instances
libras,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([14, 17, 13, 14, 14, 15, 13, 15, 16, 11, 14, 15, 14, 15, 14],
      dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([4, 1, 5, 4, 4, 3, 5, 3, 2, 7, 4, 3, 4, 3, 4], dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], dtype=int64))",Class with less than 3 instances
libras,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],,,,Mismatch in class labels
libras,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 14],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([15, 13, 17, 15, 15, 14, 14, 15, 15, 17, 17, 14, 14, 18, 12],
      dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 14],
      dtype=uint8), array([3, 5, 1, 3, 3, 4, 4, 3, 3, 1, 1, 4, 4, 6], dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14],
      dtype=uint8), array([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], dtype=int64))",Class with less than 3 instances
low-res-spect,[0 1 2 3 4 5 6 7 8],[0 1 2 3 5 7],[0 1 2 3 6 7 8],,,,Mismatch in class labels
low-res-spect,[0 1 2 3 4 5 6 7 8],[0 1 2 3 5 7],[0 1 2 3 6 7 8],"(array([0, 1, 2, 3, 4, 5, 6, 7, 8], dtype=uint8), array([ 58, 159,  24,  58,   2,   1,   5,   4,   5], dtype=int64))","(array([0, 1, 2, 3, 5, 7], dtype=uint8), array([10, 43,  6, 20,  1,  2], dtype=int64))","(array([0, 1, 2, 3, 6, 7, 8], dtype=uint8), array([22, 74,  9, 25,  1,  1,  1], dtype=int64))",Class with less than 3 instances
low-res-spect,[0 1 2 3 4 6 7 8],[0 1 2 3 5 8],[0 1 2 3 6 7 8],,,,Mismatch in class labels
low-res-spect,[0 1 2 3 4 6 7 8],[0 1 2 3 5 8],[0 1 2 3 6 7 8],"(array([0, 1, 2, 3, 4, 6, 7, 8], dtype=uint8), array([ 54, 169,  25,  64,   2,   5,   6,   4], dtype=int64))","(array([0, 1, 2, 3, 5, 8], dtype=uint8), array([14, 33,  5, 14,  2,  1], dtype=int64))","(array([0, 1, 2, 3, 6, 7, 8], dtype=uint8), array([22, 74,  9, 25,  1,  1,  1], dtype=int64))",Class with less than 3 instances
low-res-spect,[0 1 2 3 4 5 6 7 8],[0 1 2 3 4 7 8],[0 1 2 3 6 7 8],,,,Mismatch in class labels
low-res-spect,[0 1 2 3 4 5 6 7 8],[0 1 2 3 4 7 8],[0 1 2 3 6 7 8],"(array([0, 1, 2, 3, 4, 5, 6, 7, 8], dtype=uint8), array([ 55, 159,  20,  56,   1,   2,   5,   3,   3], dtype=int64))","(array([0, 1, 2, 3, 4, 7, 8], dtype=uint8), array([13, 43, 10, 22,  1,  3,  2], dtype=int64))","(array([0, 1, 2, 3, 6, 7, 8], dtype=uint8), array([22, 74,  9, 25,  1,  1,  1], dtype=int64))",Class with less than 3 instances
low-res-spect,[0 1 2 3 4 5 6 7 8],[0 1 2 3 7],[0 1 2 3 6 7 8],,,,Mismatch in class labels
low-res-spect,[0 1 2 3 4 5 6 7 8],[0 1 2 3 7],[0 1 2 3 6 7 8],"(array([0, 1, 2, 3, 4, 5, 6, 7, 8], dtype=uint8), array([ 54, 152,  26,  57,   2,   2,   5,   5,   5], dtype=int64))","(array([0, 1, 2, 3, 7], dtype=uint8), array([14, 50,  4, 21,  1], dtype=int64))","(array([0, 1, 2, 3, 6, 7, 8], dtype=uint8), array([22, 74,  9, 25,  1,  1,  1], dtype=int64))",Class with less than 3 instances
lung-cancer,[0 1 2],[1 2],[0 1 2],,,,Mismatch in class labels
lung-cancer,[0 1 2],[1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([7, 7, 6], dtype=int64))","(array([1, 2], dtype=uint8), array([2, 2], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([2, 4, 2], dtype=int64))",Class with less than 3 instances
lung-cancer,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([5, 8, 7], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([2, 1, 1], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([2, 4, 2], dtype=int64))",Class with less than 3 instances
lung-cancer,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([5, 5, 6], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([2, 4, 2], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([2, 4, 2], dtype=int64))",Class with less than 3 instances
lung-cancer,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([6, 5, 6], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([1, 4, 2], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([2, 4, 2], dtype=int64))",Class with less than 3 instances
lymphography,[0 1 2 3],[0 1 2 3],[1 2 3],,,,Mismatch in class labels
lymphography,[0 1 2 3],[0 1 2 3],[1 2 3],"(array([0, 1, 2, 3], dtype=uint8), array([ 1, 50, 38,  2], dtype=int64))","(array([0, 1, 2, 3], dtype=uint8), array([ 1, 10,  8,  1], dtype=int64))","(array([1, 2, 3], dtype=uint8), array([21, 15,  1], dtype=int64))",Class with less than 3 instances
lymphography,[0 1 2 3],[1 2],[1 2 3],,,,Mismatch in class labels
lymphography,[0 1 2 3],[1 2],[1 2 3],"(array([0, 1, 2, 3], dtype=uint8), array([ 2, 50, 28,  3], dtype=int64))","(array([1, 2], dtype=uint8), array([10, 18], dtype=int64))","(array([1, 2, 3], dtype=uint8), array([21, 15,  1], dtype=int64))",Class with less than 3 instances
lymphography,[0 1 2 3],[1 2],[1 2 3],,,,Mismatch in class labels
lymphography,[0 1 2 3],[1 2],[1 2 3],"(array([0, 1, 2, 3], dtype=uint8), array([ 2, 47, 34,  3], dtype=int64))","(array([1, 2], dtype=uint8), array([13, 12], dtype=int64))","(array([1, 2, 3], dtype=uint8), array([21, 15,  1], dtype=int64))",Class with less than 3 instances
lymphography,[0 1 2 3],[1 2 3],[1 2 3],,,,Mismatch in class labels
lymphography,[0 1 2 3],[1 2 3],[1 2 3],"(array([0, 1, 2, 3], dtype=uint8), array([ 2, 51, 38,  2], dtype=int64))","(array([1, 2, 3], dtype=uint8), array([9, 8, 1], dtype=int64))","(array([1, 2, 3], dtype=uint8), array([21, 15,  1], dtype=int64))",Class with less than 3 instances
nursery,[0 1 2 3 4],[0 2 3 4],[0 2 3 4],,,,Mismatch in class labels
nursery,[0 1 2 3 4],[0 2 3 4],[0 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([2606,    2,  197, 2554, 2443], dtype=int64))","(array([0, 2, 3, 4], dtype=uint8), array([633,  49, 646, 590], dtype=int64))","(array([0, 2, 3, 4], dtype=uint8), array([1081,   82, 1066, 1011], dtype=int64))",Class with less than 3 instances
nursery,[0 1 2 3 4],[0 1 2 3 4],[0 2 3 4],,,,Mismatch in class labels
nursery,[0 1 2 3 4],[0 1 2 3 4],[0 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([2589,    1,  205, 2529, 2429], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([650,   1,  41, 671, 604], dtype=int64))","(array([0, 2, 3, 4], dtype=uint8), array([1081,   82, 1066, 1011], dtype=int64))",Class with less than 3 instances
nursery,[0 1 2 3 4],[0 2 3 4],[0 2 3 4],,,,Mismatch in class labels
nursery,[0 1 2 3 4],[0 2 3 4],[0 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([2604,    2,  214, 2564, 2426], dtype=int64))","(array([0, 2, 3, 4], dtype=uint8), array([635,  32, 636, 607], dtype=int64))","(array([0, 2, 3, 4], dtype=uint8), array([1081,   82, 1066, 1011], dtype=int64))",Class with less than 3 instances
nursery,[0 1 2 3 4],[0 2 3 4],[0 2 3 4],,,,Mismatch in class labels
nursery,[0 1 2 3 4],[0 2 3 4],[0 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([2597,    2,  202, 2556, 2439], dtype=int64))","(array([0, 2, 3, 4], dtype=uint8), array([642,  44, 644, 594], dtype=int64))","(array([0, 2, 3, 4], dtype=uint8), array([1081,   82, 1066, 1011], dtype=int64))",Class with less than 3 instances
oocytes_trisopterus_states_5b,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([321,  10, 224], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([72,  1, 56], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([132,   3,  93], dtype=int64))",Class with less than 3 instances
oocytes_trisopterus_states_5b,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([300,   9, 225], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([93,  2, 55], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([132,   3,  93], dtype=int64))",Class with less than 3 instances
oocytes_trisopterus_states_5b,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([319,  10, 231], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([74,  1, 49], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([132,   3,  93], dtype=int64))",Class with less than 3 instances
oocytes_trisopterus_states_5b,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([328,   9, 217], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([65,  2, 63], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([132,   3,  93], dtype=int64))",Class with less than 3 instances
page-blocks,[0 1 2 3 4],[0 1 2 3 4],[0 1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([2948,  197,   20,   54,   69], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([736,  50,   1,  12,  18], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([1229,   82,    7,   22,   28], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-MATERIAL,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([ 7,  8, 45], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 5,  1, 14], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 4,  2, 20], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-MATERIAL,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([10,  5, 46], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 2,  4, 13], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 4,  2, 20], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-MATERIAL,[0 1 2],[0 2],[0 1 2],,,,Mismatch in class labels
pittsburg-bridges-MATERIAL,[0 1 2],[0 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([11,  9, 44], dtype=int64))","(array([0, 2], dtype=uint8), array([ 1, 15], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 4,  2, 20], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-MATERIAL,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([10,  6, 47], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 2,  3, 12], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 4,  2, 20], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-REL-L,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([16, 10, 35], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([11,  2,  3], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 8,  3, 15], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-SPAN,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([15, 25, 15], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 2, 10,  2], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 5, 13,  5], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-SPAN,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([14, 32, 15], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([3, 3, 2], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 5, 13,  5], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-SPAN,[0 1 2],[0 1 2],[0 1 2],"(array([0, 1, 2], dtype=uint8), array([15, 32, 12], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([2, 3, 5], dtype=int64))","(array([0, 1, 2], dtype=uint8), array([ 5, 13,  5], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-T-OR-D,[0 1],[0 1],[0 1],"(array([0, 1], dtype=uint8), array([52,  9], dtype=int64))","(array([0, 1], dtype=uint8), array([14,  2], dtype=int64))","(array([0, 1], dtype=uint8), array([22,  3], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-T-OR-D,[0 1],[0 1],[0 1],"(array([0, 1], dtype=uint8), array([55, 10], dtype=int64))","(array([0, 1], dtype=uint8), array([11,  1], dtype=int64))","(array([0, 1], dtype=uint8), array([22,  3], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-TYPE,[0 1 2 3 4 5],[0 2 3 4 5],[0 1 2 3 4 5],,,,Mismatch in class labels
pittsburg-bridges-TYPE,[0 1 2 3 4 5],[0 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([ 8,  9, 25,  7,  7,  5], dtype=int64))","(array([0, 2, 3, 4, 5], dtype=uint8), array([4, 6, 3, 2, 3], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([ 4,  2, 13,  3,  2,  2], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-TYPE,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([ 8,  6, 25,  7,  7,  5], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([4, 3, 6, 3, 2, 3], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([ 4,  2, 13,  3,  2,  2], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-TYPE,[0 1 2 3 4 5],[0 2 4 5],[0 1 2 3 4 5],,,,Mismatch in class labels
pittsburg-bridges-TYPE,[0 1 2 3 4 5],[0 2 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([10,  9, 25, 10,  7,  5], dtype=int64))","(array([0, 2, 4, 5], dtype=uint8), array([2, 6, 2, 3], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([ 4,  2, 13,  3,  2,  2], dtype=int64))",Class with less than 3 instances
pittsburg-bridges-TYPE,[0 1 2 3 4 5],[0 1 2 3 4 5],[0 1 2 3 4 5],"(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([10,  7, 22,  8,  8,  5], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([2, 2, 9, 2, 1, 3], dtype=int64))","(array([0, 1, 2, 3, 4, 5], dtype=uint8), array([ 4,  2, 13,  3,  2,  2], dtype=int64))",Class with less than 3 instances
plant-margin,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
 96 97 98 99]","[ 0  1  2  3  4  5  7  8  9 11 12 15 16 17 18 19 20 21 22 23 24 26 27 28
 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76
 77 78 79 80 82 83 84 85 87 88 89 90 91 92 93 94 95 96 97 98 99]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
 96 97 98 99]",,,,Mismatch in class labels
plant-margin,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
 96 97 98 99]","[ 0  1  2  3  4  5  7  8  9 11 12 15 16 17 18 19 20 21 22 23 24 26 27 28
 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76
 77 78 79 80 82 83 84 85 87 88 89 90 91 92 93 94 95 96 97 98 99]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
 96 97 98 99]","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16,
       17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33,
       34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50,
       51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67,
       68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84,
       85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99],
      dtype=uint8), array([10, 10,  9,  9,  7,  9, 12, 10, 10,  9, 12, 11,  7, 12, 12, 10, 10,
       10,  7, 11,  9,  6,  7,  7,  9, 12, 10,  9, 10,  6,  9, 11,  8, 11,
        7, 11, 10, 11, 10,  8, 10, 10,  9,  9, 11, 10,  9, 11, 11,  9, 10,
       11, 11, 11, 11, 10, 11,  7, 11, 11,  8,  9,  7,  8,  7,  9, 11,  8,
       10, 11, 10,  7,  8, 11, 10,  9, 11, 10, 10, 11, 10, 12, 11, 11,  9,
        8, 12,  6, 10, 11, 11,  9,  9,  9,  9, 10,  8, 10,  9,  8],
      dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  7,  8,  9, 11, 12, 15, 16, 17, 18, 19, 20,
       21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38,
       39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55,
       56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72,
       73, 74, 75, 76, 77, 78, 79, 80, 82, 83, 84, 85, 87, 88, 89, 90, 91,
       92, 93, 94, 95, 96, 97, 98, 99], dtype=uint8), array([2, 2, 3, 3, 5, 3, 2, 2, 3, 1, 5, 2, 2, 2, 5, 1, 3, 6, 5, 5, 3, 2,
       3, 2, 6, 3, 1, 4, 1, 5, 1, 2, 1, 2, 4, 2, 2, 3, 3, 1, 2, 3, 1, 1,
       3, 2, 1, 1, 1, 1, 2, 1, 5, 1, 1, 4, 3, 5, 4, 5, 3, 1, 4, 2, 1, 2,
       5, 4, 1, 2, 3, 1, 2, 2, 1, 2, 1, 1, 3, 4, 6, 2, 1, 1, 3, 3, 3, 3,
       2, 4, 2, 3, 4], dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16,
       17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33,
       34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50,
       51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67,
       68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84,
       85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99],
      dtype=uint8), array([4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,
       4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,
       4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,
       4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,
       4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], dtype=int64))",Class with less than 3 instances
plant-margin,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
 96 97 98 99]","[ 0  1  2  3  4  5  6  7  8  9 10 12 13 14 15 16 17 18 19 20 21 22 23 25
 26 27 28 29 30 32 33 34 35 36 37 38 39 40 41 42 43 45 46 47 48 50 51 52
 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 71 72 73 75 76 77 78
 79 80 81 82 83 85 86 87 88 89 90 91 93 94 95 96 97 98 99]","[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
 96 97 98 99]",,,,Mismatch in class labels
